id,name,zone,gender,objective_id,sub_objective_id,training_location,days_per_week,experience_level,created_at,updated_at
1043,RECOMPOSICION-CHICOS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-5 DIAS,consultancy,male,1,9,gym,5,advanced,2026-06-09T08:52:34.392647Z,2026-06-09T08:52:34.392647Z
1044,RECOMPOSICION-CHICOS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,consultancy,male,1,9,gym,4,advanced,2026-06-09T08:52:35.445667Z,2026-06-09T08:52:35.445667Z
1045,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-5 DIAS,consultancy,male,1,9,home_with_material,5,advanced,2026-06-09T08:52:36.739611Z,2026-06-09T08:52:36.739611Z
1046,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-4 DIAS,consultancy,male,1,9,home_with_material,4,advanced,2026-06-09T08:52:37.489383Z,2026-06-09T08:52:37.489383Z
1047,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-3 DIAS,consultancy,male,1,9,home_with_material,3,advanced,2026-06-09T08:52:38.271620Z,2026-06-09T08:52:38.271620Z
1048,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-2 DIAS,consultancy,male,1,9,home_with_material,2,advanced,2026-06-09T08:52:38.887890Z,2026-06-09T08:52:38.887890Z
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,consultancy,male,1,9,home_with_material,5,advanced,2026-06-09T08:52:39.581483Z,2026-06-09T08:52:39.581483Z
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,consultancy,male,1,9,home_with_material,4,advanced,2026-06-09T08:52:40.546768Z,2026-06-09T08:52:40.546768Z
1051,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,female,1,9,home_with_material,5,advanced,2026-06-09T08:52:41.682977Z,2026-06-09T08:52:41.682977Z
1052,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,consultancy,female,1,9,home_with_material,4,advanced,2026-06-09T08:52:42.602214Z,2026-06-09T08:52:42.602214Z
1053,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,consultancy,female,1,9,home_with_material,3,advanced,2026-06-09T08:52:43.479990Z,2026-06-09T08:52:43.479990Z
1054,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,consultancy,female,1,9,home_with_material,2,advanced,2026-06-09T08:52:44.108764Z,2026-06-09T08:52:44.108764Z
1055,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-5 DIAS,consultancy,female,1,9,home_with_material,5,advanced,2026-06-09T08:52:44.677640Z,2026-06-09T08:52:44.677640Z
1056,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-4 DIAS,consultancy,female,1,9,home_with_material,4,advanced,2026-06-09T08:52:45.594402Z,2026-06-09T08:52:45.594402Z
1057,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-3 DIAS,consultancy,female,1,9,home_with_material,3,advanced,2026-06-09T08:52:46.371026Z,2026-06-09T08:52:46.371026Z
1058,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-2 DIAS,consultancy,female,1,9,home_with_material,2,advanced,2026-06-09T08:52:46.950675Z,2026-06-09T08:52:46.950675Z
1059,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,consultancy,female,1,9,home_with_material,5,advanced,2026-06-09T08:52:47.682395Z,2026-06-09T08:52:47.682395Z
1060,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,consultancy,female,1,9,home_with_material,4,advanced,2026-06-09T08:52:48.734149Z,2026-06-09T08:52:48.734149Z
1061,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,consultancy,female,1,9,home_with_material,3,advanced,2026-06-09T08:52:49.539892Z,2026-06-09T08:52:49.539892Z
1062,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,consultancy,female,1,9,home_with_material,2,advanced,2026-06-09T08:52:50.340680Z,2026-06-09T08:52:50.340680Z
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,consultancy,male,1,9,home_with_material,3,advanced,2026-06-09T08:52:50.928029Z,2026-06-09T08:52:50.928029Z
1064,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,female,1,9,home,5,advanced,2026-06-09T08:52:51.609549Z,2026-06-09T08:52:51.609549Z
1065,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS,consultancy,female,1,9,home,4,advanced,2026-06-09T08:52:52.535149Z,2026-06-09T08:52:52.535149Z
1066,RECOMPOSICION-CHICOS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,male,1,9,home,5,advanced,2026-06-09T08:52:53.394245Z,2026-06-09T08:52:53.394245Z
1067,RECOMPOSICION-CHICOS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,consultancy,male,1,9,home,2,advanced,2026-06-09T08:52:54.072127Z,2026-06-09T08:52:54.072127Z
1068,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-5 DIAS,consultancy,female,1,9,home_with_material,5,advanced,2026-06-09T08:52:54.593450Z,2026-06-09T08:52:54.593450Z
1069,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-3 DIAS,consultancy,female,1,9,home_with_material,3,advanced,2026-06-09T08:52:55.308890Z,2026-06-09T08:52:55.308890Z
1070,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS,consultancy,female,1,9,home_with_material,2,advanced,2026-06-09T08:52:55.834666Z,2026-06-09T08:52:55.834666Z
1071,RECOMPOSICION-CHICAS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-5 DIAS,consultancy,female,1,9,home,5,advanced,2026-06-09T08:52:56.330989Z,2026-06-09T08:52:56.330989Z
1072,RECOMPOSICION-CHICAS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-3 DIAS,consultancy,female,1,9,home,3,advanced,2026-06-09T08:52:56.925128Z,2026-06-09T08:52:56.925128Z
1073,RECOMPOSICION-CHICAS-SOLO GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS,consultancy,female,1,9,home,2,advanced,2026-06-09T08:52:57.431884Z,2026-06-09T08:52:57.431884Z
1074,RECOMPOSICION-CHICOS-SOLO GOMAS-TORSO PIERNA-MES 3-AVANZADO-4 DIAS,consultancy,male,1,9,home,4,advanced,2026-06-09T08:52:58.268216Z,2026-06-09T08:52:58.268216Z
1075,RECOMPOSICION-CHICOS-SOLO GOMAS-TORSO PIERNA-MES 3-AVANZADO-3 DIAS,consultancy,male,1,9,home,3,advanced,2026-06-09T08:52:58.986647Z,2026-06-09T08:52:58.986647Z
1076,RECOMPOSICION-CHICOS-SOLO GOMAS-TORSO PIERNA-MES 3-AVANZADO-2 DIAS,consultancy,male,1,9,home,2,advanced,2026-06-09T08:52:59.669550Z,2026-06-09T08:52:59.669550Z
1077,RECOMPOSICION-CHICOS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,consultancy,male,1,9,home,5,advanced,2026-06-09T08:53:00.348795Z,2026-06-09T08:53:00.348795Z
1078,RECOMPOSICION-CHICOS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,consultancy,male,1,9,home,4,advanced,2026-06-09T08:53:01.609271Z,2026-06-09T08:53:01.609271Z
1079,RECOMPOSICION-CHICOS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,consultancy,male,1,9,home,3,advanced,2026-06-09T08:53:02.674344Z,2026-06-09T08:53:02.674344Z
1080,RECOMPOSICION-CHICOS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,consultancy,male,1,9,home,2,advanced,2026-06-09T08:53:03.510007Z,2026-06-09T08:53:03.510007Z
1081,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,consultancy,female,1,9,home,3,advanced,2026-06-09T08:53:04.031795Z,2026-06-09T08:53:04.031795Z
1082,RECOMPOSICION-CHICAS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS,consultancy,female,1,9,home,2,advanced,2026-06-09T08:53:04.574317Z,2026-06-09T08:53:04.574317Z
1083,RECOMPOSICION-CHICAS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,consultancy,female,1,9,home,5,advanced,2026-06-09T08:53:05.142547Z,2026-06-09T08:53:05.142547Z
1084,RECOMPOSICION-CHICAS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,consultancy,female,1,9,home,4,advanced,2026-06-09T08:53:06.209362Z,2026-06-09T08:53:06.209362Z
1085,RECOMPOSICION-CHICAS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,consultancy,female,1,9,home,3,advanced,2026-06-09T08:53:07.211502Z,2026-06-09T08:53:07.211502Z
1086,RECOMPOSICION-CHICOS-SOLO GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS,consultancy,male,1,9,home,3,advanced,2026-06-09T08:53:09.034367Z,2026-06-09T08:53:09.034367Z
1087,RECOMPOSICION-CHICAS-SOLO GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,consultancy,female,1,9,home,2,advanced,2026-06-09T08:53:09.762622Z,2026-06-09T08:53:09.762622Z
1088,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS,consultancy,male,1,9,gym,5,advanced,2026-06-09T08:53:10.317058Z,2026-06-09T08:53:10.317058Z
1089,RECOMPOSICION-CHICOS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS,consultancy,male,1,9,gym,4,advanced,2026-06-09T08:53:11.005868Z,2026-06-09T08:53:11.005868Z
1090,RECOMPOSICION-CHICOS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-4 DIAS,consultancy,male,1,9,gym,4,advanced,2026-06-09T08:53:11.619461Z,2026-06-09T08:53:11.619461Z
1091,RECOMPOSICION-CHICOS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-2 DIAS,consultancy,male,1,9,gym,2,advanced,2026-06-09T08:53:12.440083Z,2026-06-09T08:53:12.440083Z
