routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1146,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,2,Espalda-Posterior-Bíceps,1508,2,0,5,NO,5 6,1 2 3 4
1146,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,3,Pierna,1509,2,0,5,NO,5 6,1 2 3 4
1146,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,4,Pecho-Hombro-Tríceps,1510,2,0,5,NO,5 6,1 2 3 4
1146,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS,5,Espalda-Posterior-Bíceps,1511,2,0,5,NO,5 6,1 2 3 4
1141,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,1,Fullbody,1490,2,0,2,NO,2 3,1 4 5 6 7
1141,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS,2,Fullbody,1491,2,0,2,NO,2 3,1 4 5 6 7
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,1,Pecho-Espalda,1246,2,0,5,NO,5 6,1 2 3 4
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,1,Pecho-Espalda,1247,2,1,7,NO,7 8,1 2 3 4
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,2,Pierna,1248,2,0,5,NO,5 6,1 2 3 4
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,2,Pierna,1249,2,1,7,NO,7 8,1 2 3 4
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,3,Hombro-Bíceps-Tríceps,1250,2,0,5,NO,5 6,1 2 3 4
1063,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS,3,Hombro-Bíceps-Tríceps,1251,2,1,7,NO,7 8,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,1,Pecho-Espalda,1184,2,0,5,NO,5 6,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,1,Pecho-Espalda,1185,2,1,7,NO,7 8,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,2,Pierna,1186,2,0,5,NO,5 6,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,2,Pierna,1187,2,1,7,NO,7 8,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,3,Hombro-Bíceps-Tríceps,1188,2,0,5,NO,5 6,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,3,Hombro-Bíceps-Tríceps,1189,2,1,7,NO,7 8,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,4,Fullbody Torso,1190,2,0,5,NO,5 6,1 2 3 4
1050,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS,4,Fullbody Torso,1191,2,1,7,NO,7 8,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,1,Pecho-Espalda,1173,2,0,5,NO,5 6,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,1,Pecho-Espalda,1174,2,1,7,NO,7 8,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,2,Hombro-Bíceps-Tríceps,1175,2,0,5,NO,5 6,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,2,Hombro-Bíceps-Tríceps,1176,2,1,7,NO,7 8,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,3,Pierna,1177,2,0,5,NO,5 6,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,3,Pierna,1178,2,1,7,NO,7 8,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,4,Fullbody Torso,1179,2,0,5,NO,5 6,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,4,Fullbody Torso,1180,2,1,7,NO,7 8,1 2 3 4
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,5,Fullbody Completo,1181,2,0,3,NO,3 4,1 2 9
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,5,Fullbody Completo,1182,2,1,5,NO,5 6,1 2 9
1049,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS,5,Fullbody Completo,1183,2,2,7,NO,7 8,1 2 9
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,1,Pecho-Espalda,1591,2,0,5,NO,5 6,1 2 3 4
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,1,Pecho-Espalda,1592,2,1,7,NO,7 8,1 2 3 4
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,2,Pierna,1593,2,0,5,NO,5 6,1 2 3 4
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,2,Pierna,1594,2,1,7,NO,7 8,1 2 3 4
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,3,Hombro-Bíceps-Tríceps,1595,2,0,5,NO,5 6,1 2 3 4
